         6805 function calls (6785 primitive calls) in 0.030 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.005    0.000    0.006    0.000 C:\Python311\Lib\site-packages\scipy\linalg\_decomp_lu.py:89(lu_solve)
       10    0.004    0.000    0.004    0.000 {built-in method builtins.print}
        9    0.002    0.000    0.012    0.001 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\real_element.py:17(__init__)
       11    0.001    0.000    0.001    0.000 {built-in method scipy.sparse.linalg._dsolve._superlu.gssv}
      136    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        9    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\aggregation.py:13(aggregate)
      132    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\numpy\core\numeric.py:858(outer)
       36    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\universal_element.py:168(__init__)
        9    0.001    0.000    0.002    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\matrixH.py:15(__init__)
       60    0.001    0.000    0.002    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_sputils.py:147(get_index_dtype)
      404    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        9    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\matrixHBC.py:5(__init__)
        9    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\vectorP.py:5(__init__)
       36    0.001    0.000    0.002    0.000 C:\Python311\Lib\site-packages\scipy\linalg\_decomp_lu.py:15(lu_factor)
        9    0.000    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\matrixC.py:5(__init__)
       72    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\numpy\lib\function_base.py:562(asarray_chkfinite)
