         20806 function calls (20616 primitive calls) in 0.081 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.019    0.000    0.027    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\universal_element.py:70(__init__)
       72    0.014    0.000    0.015    0.000 C:\Python311\Lib\site-packages\numpy\linalg\linalg.py:469(inv)
       12    0.011    0.001    0.015    0.001 {built-in method builtins.print}
       18    0.003    0.000    0.048    0.003 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\real_element.py:16(__init__)
       72    0.002    0.000    0.022    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\universal_element.py:168(__init__)
       72    0.001    0.000    0.003    0.000 C:\Python311\Lib\site-packages\numpy\linalg\linalg.py:2085(det)
        9    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\aggregation.py:15(aggregate)
      100    0.001    0.000    0.002    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\gauss_integration.py:14(gaussIntegrationSchemaiD)
      132    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\numpy\core\numeric.py:858(outer)
       11    0.001    0.000    0.001    0.000 {built-in method scipy.sparse.linalg._dsolve._superlu.gssv}
     1029    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
     1200    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\universal_element.py:45(N1)
     1200    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\universal_element.py:47(N2)
     1200    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\universal_element.py:51(N4)
     1200    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\universal_element.py:49(N3)
      478    0.001    0.000    0.021    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    171/1    0.001    0.000    0.003    0.003 C:\Python311\Lib\site-packages\numpy\core\arrayprint.py:789(recurser)
        9    0.001    0.000    0.026    0.003 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\matrixH.py:18(__init__)
        9    0.001    0.000    0.025    0.003 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\matrixC.py:6(__init__)
       60    0.001    0.000    0.002    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_sputils.py:147(get_index_dtype)
        9    0.001    0.000    0.003    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\matrixHBC.py:6(__init__)
        9    0.001    0.000    0.001    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\vectorP.py:5(__init__)
      144    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\numpy\linalg\linalg.py:136(_commonType)
      160    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\numpy\core\arrayprint.py:1018(__call__)
      100    0.000    0.000    0.000    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\universal_element.py:6(__init__)
      320    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
        1    0.000    0.000    0.081    0.081 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\main.py:32(main)
       98    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1771    0.000    0.000    0.000    0.000 {built-in method builtins.len}
    30/26    0.000    0.000    0.004    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_compressed.py:26(__init__)
